name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,award_id,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff
Adele Ferguson,Female,Yes,AM,VIC,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Adele_Ferguson,59788339,2003150,2019-01-28,2019-01-25,2019,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,For significant service to the print and broadcast media as a journalist and business commentator.,Australian journalist,1,2019-01-25,2019,2019,3,0,2019-W05,2019-W04,0
Adele Green,Female,Yes,AC,QLD,2004-06-13,2004,Post,https://en.wikipedia.org/wiki/Adele_Green,55314327,1056738,2017-09-23,2004-06-13,2017,2004,Companion of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,"For service to medical research through significant advances made in the field of the epidemiology of skin cancer and ovarian cancer, to public health including improved Indigenous health, and for leadership in the wider scientific community.",Australian epidemiologist,1,2004-06-13,2004,2017,4850,13,2017-W38,2004-W24,692
Adrian Charles,Male,Yes,AM,QLD,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Adrian_Charles,61645330,885786,2019-08-31,1994-06-09,2019,1994,Member of the Order of Australia,The Queen's Birthday 1994 Honours List,G,In recognition of service to the community through the Anglican Church of Australia,Australian Anglican bishop,1,2001-01-15,2001,2019,6802,18,2019-W35,2001-W03,971
Adrian David Cheok,Male,Yes,AM,SA,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Adrian_David_Cheok,63910206,2004797,2020-05-10,2019-06-09,2020,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,For significant service to international education.,"Australian computer scientist, politician, and Professor in Tokyo",1,2019-06-09,2019,2020,336,1,2020-W19,2019-W23,48
Adrian Gibson,Male,Yes,OAM,VIC,2014-01-25,2014,Post,https://en.wikipedia.org/wiki/Adrian_Gibson,20130544,1149188,2008-11-09,2014-01-25,2008,2014,Medal of the Order of Australia,Australia Day 2014 Honours List,G,"For service to the arts, to agriculture, and to the Parliament of Australia.",Australian politician (1935-2015),1,2014-01-25,2014,2008,-1903,-6,2008-W45,2014-W04,-272
Adrian Grogan,Male,Yes,OAM,NSW,2001-01-25,2001,Post,https://en.wikipedia.org/wiki/Adrian_Grogan,33235349,886937,2011-09-28,2001-01-25,2011,2001,Medal of the Order of Australia,Australia Day 2001 Honours List,G,For service to sport as a gold medallist at the Paralympic Games Sydney 2000.,Australian Paralympic athlete,1,2001-01-25,2001,2011,3898,10,2011-W39,2001-W04,556
Adrian King (basketball),Male,Yes,OAM,QLD,2009-01-25,2009,Post,https://en.wikipedia.org/wiki/Adrian_King_(basketball),33029308,1139999,2011-09-09,2009-01-25,2011,2009,Medal of the Order of Australia,Australia Day 2009 Honours List,G,For service to sport as a Gold Medallist at the Beijing 2008 Paralympic Games.,Australian wheelchair basketball player,1,2009-01-25,2009,2011,957,2,2011-W36,2009-W04,136
Adrian Pagan,Male,Yes,AO,VIC,2015-01-25,2015,Post,https://en.wikipedia.org/wiki/Adrian_Pagan,23534175,1150765,2009-07-08,2015-01-25,2009,2015,Officer of the Order of Australia,Australia Day 2015 Honours List,G,"For distinguished service to tertiary education as an academic economist, to the development of public policy research, as an author, and through contributions to professional and financial organisations.",Australian economist,1,2015-01-25,2015,2009,-2027,-6,2009-W28,2015-W04,-290
Adrian d'Hagé,Male,Yes,AM,Other,1993-06-12,1993,Pre,https://en.wikipedia.org/wiki/Adrian_d%27Hag%C3%A9,8851114,878573,2007-01-10,1993-06-12,2007,1993,Member of the Order of Australia,The Queen's Birthday 1993 Honours List,M,In recognition of service to the Army and the Defence Force in the field of operational planning and public information,Australian writer and brigadier,1,2001-01-15,2001,2007,2186,6,2007-W02,2001-W03,312
Adrien Albert,Male,Yes,AO,ACT,1989-01-25,1989,Pre,https://en.wikipedia.org/wiki/Adrien_Albert,7747783,883664,2006-11-03,1989-01-25,2006,1989,Officer of the Order of Australia,Australia Day 1989 Honours List,G,"In recognition of services to medical chemistry, particularly in the fields of teaching and research",leading authority in the development of medicinal chemistry in Australia,1,2001-01-15,2001,2006,2118,5,2006-W44,2001-W03,302
Adrienne Cahalan,Female,Yes,OAM,NSW,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Adrienne_Cahalan,3220864,2004853,2005-11-23,2019-06-09,2005,2019,Medal of the Order of Australia,Queen's Birthday 2019 Honours List,G,For service to sailing.,Australian sailor,1,2019-06-09,2019,2005,-4946,-14,2005-W47,2019-W23,-707
Adrienne Clarke,Female,Yes,AC,Other,1991-06-09,1991,Pre,https://en.wikipedia.org/wiki/Adrienne_Clarke,5834667,1141630,2006-07-05,2004-01-25,2006,2004,Companion of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to science and academia as a leading international researcher, for the application of economic benefit to scientific discovery, and for mentoring future leaders.",Australian plant geneticist & botanist (1938 -),2,2001-01-15,2001,2006,1997,5,2006-W27,2001-W03,285
Adrienne Smith,Female,Yes,OAM,NSW,2008-01-25,2008,Post,https://en.wikipedia.org/wiki/Adrienne_Smith,36251262,1137809,2012-06-26,2008-01-25,2012,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to sports administration, particularly in the area of sport for people with a disability.",Australian sports official (1934-2012),1,2008-01-25,2008,2012,1614,4,2012-W26,2008-W04,230
Ahmed Fahour,Male,Yes,AO,VIC,2017-01-25,2017,Post,https://en.wikipedia.org/wiki/Ahmed_Fahour,3758957,1154610,2006-01-18,2017-01-25,2006,2017,Officer of the Order of Australia,Australia Day 2017 Honours List,G,"For distinguished service to business, particularly in the area of postal communications, to the banking and investment sectors, and as a supporter of improved multicultural relations.",Australian businessman,1,2017-01-25,2017,2006,-4025,-11,2006-W03,2017-W04,-575
Aila Keto,Female,Yes,AO,QLD,1994-06-09,1994,Pre,https://en.wikipedia.org/wiki/Aila_Keto,15765884,878299,2008-02-15,1994-06-09,2008,1994,Officer of the Order of Australia,The Queen's Birthday 1994 Honours List,G,"For service to conservation, particularly through promoting the protection and management of the wet tropical rainforests of Queensland.",Australian environmentalist,1,2001-01-15,2001,2008,2587,7,2008-W07,2001-W03,369
Aileen Griffiths,Female,Yes,OAM,NSW,1996-01-25,1996,Pre,https://en.wikipedia.org/wiki/Aileen_Griffiths,38759325,875493,2013-03-09,1996-01-25,2013,1996,Medal of the Order of Australia,Australia Day 1996 Honours List,G,OAM. AUST DAY1996. FOR SERVICE TO THE COMMUNITY,Notable community worker,1,2001-01-15,2001,2013,4436,12,2013-W10,2001-W03,633
Aileen MacDonald,Female,Yes,OAM,NSW,2020-06-06,2020,Post,https://en.wikipedia.org/wiki/Aileen_MacDonald,71752754,2006971,2022-09-14,2020-06-06,2022,2020,Medal of the Order of Australia,The Queen's Birthday 2020 Honours List,G,For service to the community of Guyra.,Australian politician,1,2020-06-06,2020,2022,830,2,2022-W37,2020-W23,118
Ainslie Roberts,Male,Yes,AM,SA,1993-06-12,1993,Pre,https://en.wikipedia.org/wiki/Ainslie_Roberts,9360117,870353,2007-02-07,1993-06-12,2007,1993,Member of the Order of Australia,The Queen's Birthday 1993 Honours List,G,"AM/FOR SERVICE TO ART, PARTICULARLY THROUGH THE INTERPRETATION OF ABORIGINAL DREAMTIME MYTHOLOGY. QUEENS BDAY 1993 GD",Australian artist (1911-1993),1,2001-01-15,2001,2007,2214,6,2007-W06,2001-W03,316
Ainslie Sheil,Male,Yes,AO,NSW,1992-01-25,1992,Pre,https://en.wikipedia.org/wiki/Ainslie_Sheil,28198097,883749,2010-07-30,1992-01-25,2010,1992,Officer of the Order of Australia,Australia Day 1992 Honours List,G,"AO/AD 1992 (GENERAL DIVISION) FOR SERVICE TO THE FIELD OF SURGERY, PARTICULARLY IN CLINICAL AND RESEARCH ORGAN TRANSPLANTATION",Australian organ transplant surgeon and rugby union player,1,2001-01-15,2001,2010,3483,9,2010-W30,2001-W03,497
Ajahn Brahm,Male,Yes,AM,WA,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Ajahn_Brahm,1097896,2004772,2004-10-24,2019-06-09,2004,2019,Member of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For significant service to Buddhism, and to gender equality.",British-Australian Theravada Buddhist monk (born 1951),1,2019-06-09,2019,2004,-5341,-15,2004-W43,2019-W23,-763
Akio Mimura,Male,Yes,AC,Other,2012-06-13,2012,Post,https://en.wikipedia.org/wiki/Akio_Mimura,42256374,1147693,2014-03-21,2012-06-13,2014,2012,Companion of the Order of Australia,Honorary Military Award (not gazetted),HG,For eminent service to strengthening and advancing the Australia-Japan bilateral trade and economic relationship.,Japanese businessman,1,2012-06-13,2012,2014,646,2,2014-W12,2012-W24,92
Al Grassby,Male,Yes,AM,ACT,1985-01-25,1985,Pre,https://en.wikipedia.org/wiki/Al_Grassby,1301139,871466,2004-12-20,1985-01-25,2004,1985,Member of the Order of Australia,Australia Day 1985 Honours List,G,In recognition of service to community relations,Australian politician,1,2001-01-15,2001,2004,1435,3,2004-W52,2001-W03,205
Alan Bartholomai,Male,Yes,AM,QLD,2012-01-25,2012,Post,https://en.wikipedia.org/wiki/Alan_Bartholomai,60288528,1145082,2019-03-21,2012-01-25,2019,2012,Member of the Order of Australia,Australia Day 2012 Honours List,G,"For service to the advancement of science, particularly through administrative roles with the Queensland Museum.",Australian geologist and palaeontologist (1938–2015),1,2012-01-25,2012,2019,2612,7,2019-W12,2012-W04,373
Alan Beaumont,Male,Yes,AC,ACT,1982-01-25,1982,Pre,https://en.wikipedia.org/wiki/Alan_Beaumont,17286690,879580,2008-05-06,1992-01-25,2008,1992,Companion of the Order of Australia,Australia Day 1992 Honours List,M,"In recognition of service to the Australian Defence Force, particularly as Vice Chief of the Defence Force",Australian Navy officer (1934-2004),3,2001-01-15,2001,2008,2668,7,2008-W19,2001-W03,381
Alan Blow,Male,Yes,AO,TAS,1996-01-25,1996,Pre,https://en.wikipedia.org/wiki/Alan_Blow,39469948,2000854,2013-05-24,2018-01-25,2013,2018,Officer of the Order of Australia,Australia Day 2018 Honours List,G,"For distinguished service to the judiciary and to the law, particularly as Chief Justice of the Supreme Court of Tasmania, to legal education and professional standards, and to the community.",Australian jurist; Chief Justice of Tasmania,2,2001-01-15,2001,2013,4512,12,2013-W21,2001-W03,644
Alan Bond,Male,Yes,AO,WA,1984-01-25,1984,Pre,https://en.wikipedia.org/wiki/Alan_Bond,698219,1665114,2004-06-02,1984-01-25,2004,1984,Officer of the Order of Australia,Australia Day 1984 Honours List,G,"AO AD84. FOR SERVICE TO YACHTING, PARTICULARLY AS SYNDICATE CHAIRMAN AND TEAM CAPTAIN OF THE SUCCESSFUL AMERICA'S CUP CHALLENGE 1983.  APPOINTMENT TERMINATED UNDER O OF A TERMINATIONS AND CANCELLATION ORDINANCE 28 FEB 1997","Australian businessman, CEO of Bond Corporation Holdings Ltd. (1938 - 2015)",1,2001-01-15,2001,2004,1234,3,2004-W23,2001-W03,176
Alan Brown (Australian politician),Male,Yes,AM,VIC,2018-06-10,2018,Post,https://en.wikipedia.org/wiki/Alan_Brown_(Australian_politician),5929872,2002024,2006-07-12,2018-06-10,2006,2018,Member of the Order of Australia,The Queen's Birthday 2018 Honours List,G,"For significant service to the vocational training and education sector, to philanthropy, and to the people and Parliament of Victoria.",Australian politician,1,2018-06-10,2018,2006,-4351,-12,2006-W28,2018-W23,-622
Alan Cadman,Male,Yes,OAM,NSW,2009-06-07,2009,Post,https://en.wikipedia.org/wiki/Alan_Cadman,11014885,1141005,2004-03-28,2009-06-07,2004,2009,Medal of the Order of Australia,The Queen's Birthday 2009 Honours List,G,"For service to the Parliament of Australia, and to the community of Mitchell.",Australian politician,1,2009-06-07,2009,2004,-1897,-5,2004-W13,2009-W23,-271
Alan Coates,Male,Yes,AM,NSW,2002-06-09,2002,Post,https://en.wikipedia.org/wiki/Alan_Coates,46882024,1040473,2015-06-03,2002-06-09,2015,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to medicine in the field of oncology, particularly through breast cancer research.",Australian clinical oncologist,1,2002-06-09,2002,2015,4742,13,2015-W23,2002-W23,677
Alan Cowman,Male,Yes,AC,VIC,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Alan_Cowman,59082740,2004628,2018-11-17,2019-06-09,2018,2019,Companion of the Order of Australia,Queen's Birthday 2019 Honours List,G,"For eminent service to the biological sciences, notably to molecular parasitology, to medical research and scientific education, and as a mentor.",Australian scientist,1,2019-06-09,2019,2018,-204,-1,2018-W46,2019-W23,-30
"Alan Davidson (cricketer, born 1929)",Male,Yes,AM,NSW,1987-01-25,1987,Pre,"https://en.wikipedia.org/wiki/Alan_Davidson_(cricketer,_born_1929)",2086470,886223,2005-06-22,1987-01-25,2005,1987,Member of the Order of Australia,Australia Day 1987 Honours List,G,"AM AD87. FOR SERVICE TO CRICKET, MBE",Australian cricketer,1,2001-01-15,2001,2005,1619,4,2005-W25,2001-W03,231
Alan Dupont,Male,Yes,AO,NSW,2019-06-09,2019,Post,https://en.wikipedia.org/wiki/Alan_Dupont,25525965,2004526,2009-12-23,2019-06-09,2009,2019,Officer of the Order of Australia,Queen's Birthday 2019 Honours List,G,For distinguished service to the international community through security analysis and strategic policy development.,Australian academic,1,2019-06-09,2019,2009,-3455,-10,2009-W52,2019-W23,-494
Alan Edwards (actor),Male,Yes,AM,QLD,1990-01-25,1990,Pre,https://en.wikipedia.org/wiki/Alan_Edwards_(actor),6296252,870368,2006-08-06,1990-01-25,2006,1990,Member of the Order of Australia,Australia Day 1990 Honours List,G,In recognition of service to the performing arts,British actor (1925-2003),1,2001-01-15,2001,2006,2029,5,2006-W31,2001-W03,289
Alan Ferguson (politician),Male,Yes,AM,SA,2020-06-06,2020,Post,https://en.wikipedia.org/wiki/Alan_Ferguson_(politician),2148246,2007270,2005-07-01,2020-06-06,2005,2020,Member of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For significant service to the Parliament of Australia, and to the community of South Australia.",Australian politician,1,2020-06-06,2020,2005,-5454,-15,2005-W26,2020-W23,-780
Alan Finkel,Male,Yes,AC,VIC,2014-06-08,2014,Post,https://en.wikipedia.org/wiki/Alan_Finkel,12734018,2009791,2007-08-12,2022-01-26,2007,2022,Companion of the Order of Australia,Australia Day 2022 Honours List,G,"For eminent service to science, to national energy innovation and research infrastructure capability, to climate change and COVID-19 response initiatives, and to science and engineering education.","Australian neuroscientist, engineer, entrepreneur and philanthropist",2,2014-06-08,2014,2007,-2492,-7,2007-W32,2014-W23,-356
Alan Gilbert (Australian academic),Male,Yes,AO,Other,2008-01-25,2008,Post,https://en.wikipedia.org/wiki/Alan_Gilbert_(Australian_academic),1033846,1137409,2004-10-02,2008-01-25,2004,2008,Officer of the Order of Australia,Australia Day 2008 Honours List,G,"For service to tertiary education, particularly in the area of administrative and funding reform at Melbourne University, to the promotion of electronic learning in developing countries, and to Australia's contribution to global developments in higher education and research.",Australian historian,1,2008-01-25,2008,2004,-1210,-4,2004-W40,2008-W04,-173
Alan Goldberg (judge),Male,Yes,AO,VIC,2005-06-12,2005,Post,https://en.wikipedia.org/wiki/Alan_Goldberg_(judge),35325354,1135867,2012-04-05,2005-06-12,2012,2005,Officer of the Order of Australia,The Queen's Birthday 2005 Honours List,G,"For service to the judiciary, particularly in the areas of competition law and equity, and to the community as a contributor to debate on human rights and civil liberties and as a supporter of the arts.",Australian judge,1,2005-06-12,2005,2012,2489,7,2012-W14,2005-W23,355
Alan Head,Male,Yes,AO,VIC,1992-06-07,1992,Pre,https://en.wikipedia.org/wiki/Alan_Head,34191699,885917,2011-12-27,1992-06-07,2011,1992,Officer of the Order of Australia,The Queen's Birthday 1992 Honours List,G,AO/QB 1992(GENERAL DIVISION). FOR SERVICE TO SCIENCE THROUGH RESEARCH INTO THE STRUCTURE OF SOLIDS AND ITS APPLICATION TO INDUSTRY,Australian physicist,1,2001-01-15,2001,2011,3998,10,2011-W52,2001-W03,571
Alan Hickinbotham,Male,Yes,AM,SA,1998-01-25,1998,Pre,https://en.wikipedia.org/wiki/Alan_Hickinbotham,27482418,870726,2010-05-26,1998-01-25,2010,1998,Member of the Order of Australia,Australia Day 1998 Honours List,G,"FOR SERVICE TO HOUSING AND URBAN DEVELOPMENT AS FOUNDER AND MANAGING DIRECTOR FOR OVER 40 YEARS OF THE HICKINBOTHAM GROUP, AND TO THE COMMUNITY OF ADELAIDE. AM S14 1998","Australian businessman, footballer and coach",1,2001-01-15,2001,2010,3418,9,2010-W21,2001-W03,488
Alan Hunt (politician),Male,Yes,AM,VIC,1992-06-07,1992,Pre,https://en.wikipedia.org/wiki/Alan_Hunt_(politician),12064679,884348,2007-07-03,1992-06-07,2007,1992,Member of the Order of Australia,The Queen's Birthday 1992 Honours List,G,For service to the Victorian Parliament.,Australian politician,1,2001-01-15,2001,2007,2360,6,2007-W27,2001-W03,337
Alan Jones (radio broadcaster),Male,Yes,AO,NSW,1988-01-25,1988,Pre,https://en.wikipedia.org/wiki/Alan_Jones_(radio_broadcaster),1731558,1056768,2005-04-13,2004-06-13,2005,2004,Officer of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,"For service to the community as a supporter of and fundraiser for a wide range of not-for-profit organisations, to the media, and to sports administration.","Australian radio broadcaster, rugby union coach, and rugby league coach and administrator",2,2001-01-15,2001,2005,1549,4,2005-W15,2001-W03,221
Alan Joyce (executive),Male,Yes,AC,NSW,2017-06-11,2017,Post,https://en.wikipedia.org/wiki/Alan_Joyce_(executive),18628064,1769661,2008-07-29,2017-06-11,2008,2017,Companion of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For eminent service to the aviation transport industry, to the development of the national and international tourism sectors, to gender equity, inclusion and diversity, and to the community, particularly as a supporter of Indigenous education.",Irish-Australian airline executive,1,2017-06-11,2017,2008,-3239,-9,2008-W31,2017-W23,-463
Alan Kohler,Male,Yes,AM,VIC,2019-01-25,2019,Post,https://en.wikipedia.org/wiki/Alan_Kohler,1544248,2003152,2005-02-26,2019-01-25,2005,2019,Member of the Order of Australia,Australia Day 2019 Honours List,G,"For significant service to the print and broadcast media as an editor, journalist and finance commentator.",Australian journalist and editor,1,2019-01-25,2019,2005,-5081,-14,2005-W08,2019-W04,-726
Alan Lind,Male,Yes,AO,VIC,1978-06-05,1978,Pre,https://en.wikipedia.org/wiki/Alan_Lind,48493210,885628,2015-11-08,1978-06-05,2015,1978,Officer of the Order of Australia,The Queen's Birthday 1978 Honours List,G,AO QB COM LIST 1978. FOR SERVICE TO THE COMMUNITY,Australian politician,1,2001-01-15,2001,2015,5410,14,2015-W45,2001-W03,772
Alan Lopez,Male,Yes,AC,QLD,2016-06-12,2016,Post,https://en.wikipedia.org/wiki/Alan_Lopez,44096552,1153652,2014-10-13,2016-06-12,2014,2016,Companion of the Order of Australia,The Queen's Birthday 2016 Honours List,G,"For eminent service to science, both nationally and internationally, as an academic, researcher and author, and to the advancement of planning and policy development to improve public health in developing countries.",Australian global and public health scholar and epidemiologist,1,2016-06-12,2016,2014,-608,-2,2014-W42,2016-W23,-87
Alan Loxton,Male,Yes,AM,NSW,1991-01-25,1991,Pre,https://en.wikipedia.org/wiki/Alan_Loxton,23927060,882284,2009-08-10,1991-01-25,2009,1991,Member of the Order of Australia,Australia Day 1991 Honours List,G,AM/AUSTRALIA DAY 1991 (GENERAL DIVISION) FOR SERVICE TO EDUCATION AND THE LAW,lawyer,1,2001-01-15,2001,2009,3129,8,2009-W33,2001-W03,447
Alan Lucas,Male,Yes,OAM,NSW,2015-01-25,2015,Post,https://en.wikipedia.org/wiki/Alan_Lucas,38848768,1151177,2013-03-19,2015-01-25,2013,2015,Medal of the Order of Australia,Australia Day 2015 Honours List,G,For service to the print media as an author of maritime publications.,Australian writer,1,2015-01-25,2015,2013,-677,-2,2013-W12,2015-W04,-97
Alan Mackay-Sim,Male,Yes,AM,QLD,2021-06-13,2021,Post,https://en.wikipedia.org/wiki/Alan_Mackay-Sim,52979724,2009398,2017-01-25,2021-06-13,2017,2021,Member of the Order of Australia,The Queen's Birthday 2021 Honours List,G,"For significant service to tertiary education,¬†and to biomedical science.",Australian biomedical scientist,1,2021-06-13,2021,2017,-1600,-4,2017-W04,2021-W23,-229
Alan McGilvray,Male,Yes,AM,NSW,1980-01-25,1980,Pre,https://en.wikipedia.org/wiki/Alan_McGilvray,4314385,886496,2006-03-08,1980-01-25,2006,1980,Member of the Order of Australia,Australia Day 1980 Honours List,G,FOR SERVICE TO THE SPORT OF CRICKET,Australian cricket commentator (1909-1996),1,2001-01-15,2001,2006,1878,5,2006-W10,2001-W03,268
Alan McLeod McCulloch,Male,Yes,AO,VIC,1976-01-25,1976,Pre,https://en.wikipedia.org/wiki/Alan_McLeod_McCulloch,23213129,870254,2009-06-14,1976-01-25,2009,1976,Officer of the Order of Australia,Australia Day 1976 Honours List,G,AO (CIVIL DIVISION) AUST DAY 1976,Australian artist (1907-1992),1,2001-01-15,2001,2009,3072,8,2009-W24,2001-W03,438
Alan Moorehead,Male,Yes,AO,Other,1978-06-05,1978,Pre,https://en.wikipedia.org/wiki/Alan_Moorehead,2019139,870267,2005-06-10,1978-06-05,2005,1978,Officer of the Order of Australia,The Queen's Birthday 1978 Honours List,G,OBE 1946 (BRITISH). CBE QB1968 UNITED KINGDOM. AO QB1978. FOR SERVICE TO LITERATURE. PORTO ERCOLE (GROSSETO) ITALY,Australian journalist,1,2001-01-15,2001,2005,1607,4,2005-W23,2001-W03,229
Alan Morrison (general),Male,Yes,AO,ACT,1980-06-08,1980,Pre,https://en.wikipedia.org/wiki/Alan_Morrison_(general),26037149,879473,2010-02-02,1980-06-08,2010,1980,Officer of the Order of Australia,The Queen's Birthday 1980 Honours List,M,"AO QB80 (MIL DIV) DSO 68-69 MBE GAZETTE 76 26/11/53. FOR SERVICE TO THE AUSTRALIAN ARMY, PARTICULARLY AS THE COMMANDANT, ROYAL MILITARY COLLEGE, DUNTROON.",Australian Army officer,1,2001-01-15,2001,2010,3305,9,2010-W05,2001-W03,472
Alan Payne (naval architect),Male,Yes,AM,NSW,1993-06-12,1993,Pre,https://en.wikipedia.org/wiki/Alan_Payne_(naval_architect),41470824,869651,2013-12-27,1993-06-12,2013,1993,Member of the Order of Australia,The Queen's Birthday 1993 Honours List,G,AM/FOR SERVICE TO NAVAL ARCHITECTURE AS A DESIGNER OF RACING AND CRUISING. QUEENS B'DAY 1993 MD,Australian naval architect,1,2001-01-15,2001,2013,4729,12,2013-W52,2001-W03,675
Alan Pears,Male,Yes,AM,VIC,2009-06-07,2009,Post,https://en.wikipedia.org/wiki/Alan_Pears,36504218,1140875,2012-07-22,2009-06-07,2012,2009,Member of the Order of Australia,The Queen's Birthday 2009 Honours List,G,For service to the environment through the development of policy and design in the fields of energy efficiency and sustainability and through public awareness programs.,Australian environmental consultant,1,2009-06-07,2009,2012,1141,3,2012-W29,2009-W23,163
Alan Rose (public servant),Male,Yes,AO,ACT,1994-01-25,1994,Pre,https://en.wikipedia.org/wiki/Alan_Rose_(public_servant),42071718,885194,2014-02-28,1994-01-25,2014,1994,Officer of the Order of Australia,Australia Day 1994 Honours List,G,"AO/FOR SERVICE TO PUBLIC ADMINISTRATION, PARTICULARLY THROUGH SERVICE TO THE ATTORNEY-GENERAL'S DEPARTMENT. AUST DAY AWARD 1994",Australian public servant,1,2001-01-15,2001,2014,4792,13,2014-W09,2001-W03,684
